Target ID	Gene Name	Measure Names	Qval Color	Number of target	Measure Values
ENSMUST00000000090	Cox5a	Apical Bias	Red	598	0.254248747
ENSMUST00000000312	Cdh1	Apical Bias	Red	598	1.540902505
ENSMUST00000000756	Rpl13	Apical Bias	Red	598	-1.208072715
ENSMUST00000001611	Nom1	Apical Bias	Red	598	-1.234211736
ENSMUST00000001963	Ace	Apical Bias	Red	598	1.656755764
ENSMUST00000002091	Bcap31	Apical Bias	Red	598	0.804236110
ENSMUST00000002303	Rhoc	Apical Bias	Red	598	0.484860403
ENSMUST00000002818	Ykt6	Apical Bias	Red	598	0.406510959
ENSMUST00000003512	Fcgrt	Apical Bias	Red	598	0.646726569
ENSMUST00000004381	Lpcat3	Apical Bias	Red	598	0.903821077
ENSMUST00000004505	Npc1l1	Apical Bias	Red	598	1.314076375
ENSMUST00000004508	Tmed4	Apical Bias	Red	598	0.725827531
ENSMUST00000005406	App	Apical Bias	Red	598	0.939984723
ENSMUST00000006094	Cyp2d26	Apical Bias	Red	598	0.694474132
ENSMUST00000006235	Ctsb	Apical Bias	Red	598	0.695397675
ENSMUST00000006496	Rps9	Apical Bias	Red	598	-0.708534497
ENSMUST00000006914	B4galnt1	Apical Bias	Red	598	0.508563921
ENSMUST00000007207	Clcn2	Apical Bias	Red	598	0.639625561
ENSMUST00000008036	Rplp1	Apical Bias	Red	598	-0.441713452
ENSMUST00000008684	Mgst1	Apical Bias	Red	598	0.784431797
ENSMUST00000011178	Slc5a1	Apical Bias	Red	598	0.684128026
ENSMUST00000011492	Acad9	Apical Bias	Red	598	-0.990617502
ENSMUST00000014892	Tex261	Apical Bias	Red	598	0.762394107
ENSMUST00000015011	Surf4	Apical Bias	Red	598	0.675612343
ENSMUST00000015017	Surf2	Apical Bias	Red	598	0.937416412
ENSMUST00000015858	Cers2	Apical Bias	Red	598	0.572791199
ENSMUST00000015877	Capza2	Apical Bias	Red	598	0.449755687
ENSMUST00000016144	Plpp1	Apical Bias	Red	598	0.596886873
ENSMUST00000016400	Ctsz	Apical Bias	Red	598	0.530072488
ENSMUST00000016678	Lamp2	Apical Bias	Red	598	1.061771342
ENSMUST00000017851	Serinc3	Apical Bias	Red	598	0.508827537
ENSMUST00000018186	Cyb5r3	Apical Bias	Red	598	-1.536201557
ENSMUST00000018315	Vmp1	Apical Bias	Red	598	0.515308050
ENSMUST00000018713	Cldn7	Apical Bias	Red	598	1.055392520
ENSMUST00000019063	Tm4sf5	Apical Bias	Red	598	0.510036743
ENSMUST00000019276	BC005537	Apical Bias	Red	598	0.358015499
ENSMUST00000019422	Dpep1	Apical Bias	Red	598	0.840428087
ENSMUST00000019913	Frk	Apical Bias	Red	598	0.870661071
ENSMUST00000019998	Perp	Apical Bias	Red	598	0.468810641
ENSMUST00000020022	Smpdl3a	Apical Bias	Red	598	0.825509750
ENSMUST00000020107	Atp2b1	Apical Bias	Red	598	1.061521601
ENSMUST00000020169	Enpp3	Apical Bias	Red	598	0.770440489
ENSMUST00000020484	Txnrd1	Apical Bias	Red	598	0.362398083
ENSMUST00000020637	Canx	Apical Bias	Red	598	0.380293709
ENSMUST00000020653	Sar1b	Apical Bias	Red	598	0.685856059
ENSMUST00000020710	Tcn2	Apical Bias	Red	598	0.992546129
ENSMUST00000021077	Slc9a3r1	Apical Bias	Red	598	0.304314299
ENSMUST00000021375	Sec23a	Apical Bias	Red	598	0.533927352
ENSMUST00000021691	Degs2	Apical Bias	Red	598	0.723131768
ENSMUST00000021930	Sfxn1	Apical Bias	Red	598	0.425761400
ENSMUST00000021940	Lman2	Apical Bias	Red	598	1.223594460
ENSMUST00000022269	Oit1	Apical Bias	Red	598	0.524947557
ENSMUST00000022529	Tkt	Apical Bias	Red	598	0.390752395
ENSMUST00000022663	Tnfrsf10b	Apical Bias	Red	598	-0.814944674
ENSMUST00000022704	Itm2b	Apical Bias	Red	598	0.393327858
ENSMUST00000022787	Slc7a8	Apical Bias	Red	598	1.400649009
ENSMUST00000022875	Ank	Apical Bias	Red	598	0.956531707
ENSMUST00000022927	Rad21	Apical Bias	Red	598	-0.635529990
ENSMUST00000023119	Vdr	Apical Bias	Red	598	0.684130474
ENSMUST00000023203	Gpt	Apical Bias	Red	598	0.390578820
ENSMUST00000023334	Pvrl3	Apical Bias	Red	598	1.616662258
ENSMUST00000023520	Muc13	Apical Bias	Red	598	0.800954826
ENSMUST00000023566	Tmprss15	Apical Bias	Red	598	1.763791465
ENSMUST00000023691	Il10rb	Apical Bias	Red	598	1.156539532
ENSMUST00000023749	Tmbim6	Apical Bias	Red	598	0.601085375
ENSMUST00000023760	Gpd1	Apical Bias	Red	598	0.316214355
ENSMUST00000023761	Cox14	Apical Bias	Red	598	0.631769587
ENSMUST00000023806	Soat2	Apical Bias	Red	598	0.426994359
ENSMUST00000023952	Krt8	Apical Bias	Red	598	0.331796709
ENSMUST00000024004	Ccl25	Apical Bias	Red	598	0.460145267
ENSMUST00000024866	Xdh	Apical Bias	Red	598	0.327225988
ENSMUST00000024963	Mcfd2	Apical Bias	Red	598	0.952827353
ENSMUST00000025083	Kif5b	Apical Bias	Red	598	-0.789470065
ENSMUST00000025161	Tapbp	Apical Bias	Red	598	0.791387530
ENSMUST00000025312	H2-T3	Apical Bias	Red	598	0.789100363
ENSMUST00000025381	Spink1	Apical Bias	Red	598	0.408118408
ENSMUST00000025482	Atp8b1	Apical Bias	Red	598	1.394058368
ENSMUST00000025546	Cndp2	Apical Bias	Red	598	0.359544204
ENSMUST00000025636	Ms4a8a	Apical Bias	Red	598	0.511998006
ENSMUST00000025659	Zfand5	Apical Bias	Red	598	0.646729703
ENSMUST00000025667	Rtn3	Apical Bias	Red	598	0.676884097
ENSMUST00000025827	Minpp1	Apical Bias	Red	598	0.749158061
ENSMUST00000025833	Papss2	Apical Bias	Red	598	0.321027044
ENSMUST00000025966	Cyp2c55	Apical Bias	Red	598	1.000251066
ENSMUST00000026122	P4hb	Apical Bias	Red	598	1.019659621
ENSMUST00000026196	Got1	Apical Bias	Red	598	0.628684789
ENSMUST00000026208	Abcc2	Apical Bias	Red	598	0.822936171
ENSMUST00000026407	Cd63	Apical Bias	Red	598	0.472075097
ENSMUST00000026446	Cnpy2	Apical Bias	Red	598	0.589007784
ENSMUST00000026540	Prap1	Apical Bias	Red	598	0.409413809
ENSMUST00000026602	2010106E10Rik	Apical Bias	Red	598	0.851136013
ENSMUST00000026624	Tm9sf2	Apical Bias	Red	598	1.277211460
ENSMUST00000027068	Tram1	Apical Bias	Red	598	0.724073294
ENSMUST00000027137	Slc40a1	Apical Bias	Red	598	0.699293676
ENSMUST00000027193	Ndufb3	Apical Bias	Red	598	-0.641170650
ENSMUST00000027231	Slc9a2	Apical Bias	Red	598	0.984296213
ENSMUST00000027343	Ogfrl1	Apical Bias	Red	598	-0.861819858
ENSMUST00000027366	Vil1	Apical Bias	Red	598	0.301058614
ENSMUST00000027580	Slc35f5	Apical Bias	Red	598	0.649898229
ENSMUST00000027675	Pigr	Apical Bias	Red	598	-1.162160325
ENSMUST00000027863	Atp1b1	Apical Bias	Red	598	1.108054752
ENSMUST00000028426	Cers6	Apical Bias	Red	598	1.031461630
ENSMUST00000028610	Cat	Apical Bias	Red	598	0.550685016
ENSMUST00000028683	Pdia3	Apical Bias	Red	598	0.622261080
ENSMUST00000028815	Slc23a2	Apical Bias	Red	598	0.590665129
ENSMUST00000028844	Sppl2a	Apical Bias	Red	598	1.020009891
ENSMUST00000028856	Mall	Apical Bias	Red	598	0.780335071
ENSMUST00000029240	Slc2a2	Apical Bias	Red	598	1.156262915
ENSMUST00000029367	Bche	Apical Bias	Red	598	1.225723109
ENSMUST00000029414	Ssr3	Apical Bias	Red	598	0.416851142
ENSMUST00000029445	Nras	Apical Bias	Red	598	0.458036353
ENSMUST00000029569	Slc35a3	Apical Bias	Red	598	1.266352853
ENSMUST00000029658	Enpep	Apical Bias	Red	598	1.512053676
ENSMUST00000029722	Rps3a1	Apical Bias	Red	598	-0.733617515
ENSMUST00000029805	Mttp	Apical Bias	Red	598	1.606197837
